seed,k,N,depth,xcoord,dist
3,3,3072,23,0.23958333333333334,0.2577926218509674
3,3,3072,24,0.25,0.26634255051612854
3,3,3072,25,0.2604166666666667,0.2646028995513916
3,3,3072,26,0.2708333333333333,0.2557593584060669
3,3,3072,27,0.28125,0.2645507752895355
3,3,3072,28,0.2916666666666667,0.2910175025463104
3,3,3072,29,0.3020833333333333,0.2827100157737732
3,3,3072,30,0.3125,0.2739962935447693
3,3,3072,31,0.3229166666666667,0.2891322374343872
3,3,3072,32,0.3333333333333333,0.28660666942596436
3,4,4096,16,0.125,0.18613344430923462
3,4,4096,17,0.1328125,0.1804601401090622
3,4,4096,18,0.140625,0.18417759239673615
3,4,4096,19,0.1484375,0.18955491483211517
3,4,4096,20,0.15625,0.18534891307353973
3,4,4096,21,0.1640625,0.2017362266778946
3,4,4096,22,0.171875,0.19152148067951202
3,4,4096,23,0.1796875,0.1963326334953308
3,4,4096,24,0.1875,0.20306701958179474
3,4,4096,25,0.1953125,0.21497337520122528
3,4,4096,26,0.203125,0.21936142444610596
3,4,4096,27,0.2109375,0.22469548881053925
